centralVariantId,ft,km,transmission,ownerNo,owner,oem,bt,model,modelYear,variantName,Engine Type,price,city,Registration Year,Insurance Validity,Engine Displacement,Max Power,Torque,No of Cylinder,Mileage,Color,Seats,Length,Width,Height,Wheel Base,Steering Type,Drive Type,Cargo Volumn,price (lakh)
8654,Petrol,20000,Automatic,1,1st Owner,Kia,SUV,Kia Sonet,2022,Turbo DCT Anniversary Edition,Smartstream G1.0 T - GDi,₹ 11.50 Lakh,chennai,2022,Third Party,998,118.36,172.0,3.0,17.0,Black,5 Seats,3995,1790,1642,2500,Electric,FWD,392,11.5
4025,Petrol,20687,Manual,1,1st Owner,Maruti,Minivans,Maruti Eeco,2015,7 Seater Standard BSIV,In-Line Engine,₹ 4.15 Lakh,chennai,2015,Comprehensive,1196,73.0,101.0,4.0,15.37,Gray,7 Seats,3675,1475,1800,2350,Manual,RWD,540,4.15
8135,Petrol,30000,Manual,1,1st Owner,Nissan,SUV,Nissan Magnite,2021,Turbo XV Premium BSVI,HRA0 1.0 TURBO PETROL,₹ 7.50 Lakh,chennai,2021,Third Party,999,98.63,160.0,3.0,20.0,Others,5 Seats,3994,1758,1572,2500,Electric,FWD,336,7.5
1579,Petrol,59247,Manual,1,1st Owner,Hyundai,Hatchback,Hyundai i10,2015,Sportz 1.1L,IRDE2 Engine,₹ 3.98 Lakh,chennai,2015,Comprehensive,1086,68.05,99.04,4.0,19.81,Silver,5 Seats,3585,1595,1550,2380,Power,FWD,225,3.98
1341,Petrol,50000,Manual,1,1st Owner,Honda,Hatchback,Honda Jazz,2015,1.2 VX i VTEC,i-VTEC Petrol Engine,₹ 5.50 Lakh,chennai,2015,Third Party,1199,88.7,110.0,4.0,18.7,Others,5 Seats,3955,1694,1544,2530,Power,FWD,354,5.5
4570,Diesel,20000,Automatic,1,1st Owner,Mercedes-Benz,Sedan,Mercedes-Benz E-Class,2016,E250 CDI Avantgarde,In-Line Diesel Engine,₹ 33 Lakh,chennai,2017,Comprehensive,2143,204.0,500.0,4.0,13.0,White,5 Seats,4879,2071,1474,2874,Power,RWD,540,33.0
3995,Petrol,29403,Automatic,1,1st Owner,Maruti,Hatchback,Maruti Celerio,2016,ZXI AT Optional,K10B Engine,₹ 4.53 Lakh,chennai,2016,Comprehensive,998,67.04,90.0,3.0,23.1,Blue,5 Seats,3715,1635,1565,2425,Power,FWD,235,4.53
3895,Petrol,42700,Manual,1,1st Owner,Maruti,Hatchback,Maruti A-Star,2010,Zxi,K Series Petrol Engine,₹ 2.85 Lakh,chennai,2010,Comprehensive,998,66.1,90.0,3.0,19.0,Gray,5 Seats,3500,1600,1490,2360,Power,FWD,267,2.85
6367,Diesel,23001,Automatic,1,1st Owner,BMW,SUV,BMW X3,2018,xDrive 20d Luxury Line,TwinPower Turbo 4-cylinder engine,₹ 50 Lakh,chennai,2018,Comprehensive,1995,187.7,400.0,4.0,16.55,Gray,5 Seats,4708,1891,1676,2864,Power,AWD,485,50.0
6088,Petrol,25925,Automatic,2,2nd Owner,Ford,SUV,Ford Ecosport,2018,1.5 Petrol Titanium Plus AT BSIV,Ti-VCT Petrol Engine,₹ 8.21 Lakh,chennai,2018,Comprehensive,1497,121.36,150.0,3.0,14.8,Black,5 Seats,3998,1765,1647,2519,Power,FWD,352,8.21
8161,Petrol,20000,Manual,1,1st Owner,Hyundai,Hatchback,Hyundai i20,2021,Asta Opt BSVI,1.2 l Kappa petrol,₹ 8.65 Lakh,chennai,2021,Third Party,1197,81.8,114.74,4.0,21.0,Blue,5 Seats,3995,1775,1505,2580,Electric,FWD,311,8.65
6506,Petrol,17711,Automatic,1,1st Owner,Honda,Hatchback,Honda Jazz,2019,VX CVT,i-VTEC Petrol Engine,₹ 7.92 Lakh,chennai,2019,Comprehensive,1199,88.7,110.0,4.0,18.2,Silver,5 Seats,3955,1694,1544,2530,Power,FWD,354,7.92
7103,Diesel,50000,Automatic,1,1st Owner,BMW,Sedan,BMW 3 Series,2020,320d Luxury Line,TwinPower Turbo 4 Cylinder Engine,₹ 40.50 Lakh,chennai,2020,Comprehensive,1995,187.74,400.0,4.0,20.37,White,5 Seats,4709,1827,1435,2810,Power,RWD,480,40.5
6324,Petrol,50000,Manual,1,1st Owner,Maruti,Hatchback,Maruti Swift,2018,VXI 2018,VTVT Engine,₹ 6.10 Lakh,chennai,2018,Third Party,1197,81.8,113.0,4.0,22.0,Others,5 Seats,3840,1735,1530,2450,Power,FWD,268,6.1
5602,Petrol,51125,Manual,2,2nd Owner,Hyundai,Hatchback,Hyundai Grand i10,2018,1.2 Kappa Magna BSIV,Kappa VTVT Petrol Engine,₹ 5.11 Lakh,chennai,2019,Comprehensive,1197,81.86,113.75,4.0,18.9,White,5 Seats,3765,1660,1520,2425,Power,FWD,256,5.11
5997,Diesel,69233,Manual,1,1st Owner,Tata,SUV,Tata Nexon,2019,1.5 Revotorq XT,"Revotorq, 1.5L Turbocharged engine",₹ 7.10 Lakh,chennai,2019,Comprehensive,1497,108.5,260.0,4.0,21.5,Orange,5 Seats,3994,1811,1607,2498,Power,FWD,350,7.1
10938,Diesel,65000,Manual,1,1st Owner,Jeep,SUV,Jeep Compass,2017,2.0 Sport,2.0L Multijet Diesel,₹ 12.25 Lakh,chennai,2017,Comprehensive,1956,167.67,350.0,4.0,17.1,White,5 Seats,4405,1818,1640,2636,Power,4X2,418,12.25
1280,Petrol,93281,Manual,1,1st Owner,Honda,Sedan,Honda City,2014,i VTEC VX,i VTEC Engine,₹ 5.70 Lakh,chennai,2014,Comprehensive,1497,117.3,145.0,4.0,17.4,Brown,5 Seats,4440,1695,1495,2600,Power,FWD,510,5.7
8243,Diesel,18000,Manual,1,1st Owner,Toyota,SUV,Toyota Fortuner,2022,4X2 Diesel BSVI,2.8 L Diesel engine,₹ 39 Lakh,chennai,2022,Comprehensive,2755,201.15,420.0,4.0,17.0,White,7 Seats,4795,1855,1835,2745,Power,2WD,418,39.0
1166,Petrol,99225,Manual,2,2nd Owner,Honda,Sedan,Honda Amaze,2014,E i-Vtech,i-VTEC Petrol Engine,₹ 3.75 Lakh,chennai,2014,Comprehensive,1198,86.7,109.0,4.0,18.0,White,5 Seats,3990,1680,1505,2405,Power,FWD,400,3.75
5548,Petrol,30000,Manual,1,1st Owner,Hyundai,Hatchback,Hyundai EON,2016,1.0 Era Plus,Kappa Engine,₹ 2.75 Lakh,chennai,2016,Third Party,998,68.05,94.14,3.0,20.3,Others,5 Seats,3515,1550,1510,2380,Power,FWD,215,2.75
1168,Petrol,30602,Manual,1,1st Owner,Honda,Sedan,Honda Amaze,2014,S i-Vtech,i-VTEC Petrol Engine,₹ 4.29 Lakh,chennai,2014,Comprehensive,1198,86.7,109.0,4.0,18.0,Silver,5 Seats,3990,1680,1505,2405,Power,FWD,400,4.29
4164,Diesel,64500,Manual,1,1st Owner,Maruti,Hatchback,Maruti Swift,2018,VDI BSIV,DDiS Diesel Engine,₹ 6.75 Lakh,chennai,2018,Comprehensive,1248,74.0,190.0,4.0,25.2,Red,5 Seats,3840,1735,1530,2450,Power,FWD,204,6.75
1215,Petrol,46809,Manual,2,2nd Owner,Honda,Sedan,Honda City,2017,i VTEC V,i VTEC Engine,₹ 7.93 Lakh,chennai,2017,Comprehensive,1497,117.3,145.0,4.0,17.8,White,5 Seats,4440,1695,1495,2600,Power,FWD,510,7.93
7279,Electric,20000,Automatic,1,1st Owner,Tata,SUV,Tata Nexon EV,2020,XZ Plus LUX,In-Line Engine,₹ 11 Lakh,chennai,2020,Third Party,1197,127.0,245.0,0.0,17.0,Others,5 Seats,3993,1811,1606,2498,Electric,FWD,350,11.0
1444,Diesel,20000,Automatic,1,1st Owner,Hyundai,SUV,Hyundai Creta,2019,1.6 CRDi AT SX Plus,U2 CRDI VGT Engine,₹ 14.25 Lakh,chennai,2019,Comprehensive,1582,126.2,259.9,4.0,17.01,White,5 Seats,4270,1780,1630,2590,Power,FWD,400,14.25
6946,Petrol,21725,Automatic,1,1st Owner,Hyundai,SUV,Hyundai Venue,2020,SX Plus Turbo DCT BSIV,In-Line Engine,₹ 10.36 Lakh,chennai,2020,Third Party,998,118.35,171.6,3.0,18.15,Red,5 Seats,3995,1770,1605,2500,Power,FWD,350,10.36
1216,Petrol,80000,Manual,1,1st Owner,Honda,Sedan,Honda City,2016,i VTEC VX,i VTEC Engine,₹ 8 Lakh,chennai,2016,Third Party,1497,117.3,145.0,4.0,17.8,Others,5 Seats,4440,1695,1495,2600,Power,FWD,510,8.0
54,Petrol,88000,Automatic,2,2nd Owner,Audi,Sedan,Audi A6,2013,2.0 TFSI Premium Plus,TFSI Petrol Engine,₹ 14 Lakh,chennai,2013,Third Party,1984,177.01,320.0,4.0,13.53,Blue,5 Seats,4915,2086,1455,2912,Power,FWD,530,14.0
7265,Petrol,30360,Automatic,2,2nd Owner,Honda,Sedan,Honda City,2019,ZX CVT,i VTEC Engine,₹ 10.88 Lakh,chennai,2019,Third Party,1497,117.6,145.0,4.0,17.4,Black,5 Seats,4440,1695,1495,2600,Power,FWD,510,10.88
3960,Petrol,70000,Automatic,2,2nd Owner,Maruti,Hatchback,Maruti Baleno,2017,1.2 CVT Zeta,VVT Petrol Engine,₹ 5.90 Lakh,chennai,2017,Third Party,1197,83.1,115.0,4.0,21.4,Others,5 Seats,3995,1745,1510,2520,Power,FWD,339,5.9
1550,Petrol,16246,Manual,1,1st Owner,Hyundai,Hatchback,Hyundai Grand i10,2016,Asta Option,Kappa VTVT Petrol Engine,₹ 5.68 Lakh,chennai,2016,Comprehensive,1197,82.0,114.0,4.0,18.9,Red,5 Seats,3765,1660,1520,2425,Power,FWD,256,5.68
3981,Petrol,55000,Automatic,2,2nd Owner,Maruti,Hatchback,Maruti Celerio,2017,LXI AT,K10B Engine ,₹ 4 Lakh,chennai,2017,Comprehensive,998,67.04,90.0,3.0,23.1,White,5 Seats,3600,1600,1560,2425,Power,FWD,235,4.0
8188,Petrol,13000,Automatic,1,1st Owner,Toyota,MUV,Toyota Innova Crysta,2022,2.7 ZX 7 STR AT,2.7 L Dual VVT,₹ 27.90 Lakh,chennai,2022,Comprehensive,2694,163.6,245.0,4.0,8.0,White,7 Seats,4735,1830,1795,2750,Power,RWD,300,27.9
3995,Petrol,71638,Automatic,2,2nd Owner,Maruti,Hatchback,Maruti Celerio,2016,ZXI AT Optional,K10B Engine,₹ 4.22 Lakh,chennai,2016,Third Party,998,67.04,90.0,3.0,23.1,Red,5 Seats,3715,1635,1565,2425,Power,FWD,235,4.22
1165,Petrol,46105,Manual,1,1st Owner,Honda,Sedan,Honda Amaze,2015,SX i-VTEC,i-VTEC Petrol Engine,₹ 4.50 Lakh,chennai,2015,Comprehensive,1198,86.7,109.0,4.0,18.0,White,5 Seats,3990,1680,1505,2405,Power,FWD,400,4.5
5668,Petrol,60000,Manual,1,1st Owner,Honda,SUV,Honda WR-V,2017,i-VTEC VX,i-VTEC Petrol Engine,₹ 6.50 Lakh,chennai,2017,Third Party,1199,88.7,110.0,4.0,17.5,Others,5 Seats,3999,1734,1601,2555,Electric,FWD,363,6.5
1344,Diesel,80000,Manual,1,1st Owner,Honda,Hatchback,Honda Jazz,2017,1.5 SV i DTEC,i-DTEC Diesel Engine,₹ 5.75 Lakh,chennai,2017,Third Party,1498,98.6,200.0,4.0,27.3,Others,5 Seats,3955,1694,1544,2530,Power,FWD,354,5.75
4535,Diesel,58000,Automatic,1,1st Owner,Mercedes-Benz,Hatchback,Mercedes-Benz B Class,2015,B200 CDI,In-line Diesel Engine,₹ 19.50 Lakh,chennai,2016,Comprehensive,2143,107.3,250.0,4.0,15.0,Gray,5 Seats,4359,2010,1557,2699,Power,FWD,486,19.5
4077,Petrol,70000,Manual,2,2nd Owner,Maruti,Sedan,Maruti Esteem,2008,Vxi - BSIII,In-Line Engine,₹ 1.50 Lakh,chennai,2008,Third Party,1298,85.0,110.0,4.0,15.9,Silver,5 Seats,4095,1575,1395,2365,Power,FWD,461,1.5
