km,Engine Displacement,Max Power,No of Cylinder,Mileage,price (lakh),Insurance_Encoded,modelyear_Encoded,owner_Encoded,cylinder_Encoded,oem_Encoded,bt_Encoded,model_Encoded,variantName_Encoded,engine_Encoded,city_Encoded,color_Encoded,seats_Encoded,streeingtype_Encoded,drivetype_Encoded,ft_Encoded,transmission_Encoded,Length,Width,Wheel Base,Cargo Volumn
20000,998,118.36,3.0,17.0,11.5,1.0,27.0,4.0,2,13,7,108,1729,369,1,8,3,1,6,4,0,3995,1790,2500,392
20687,1196,73.0,4.0,15.37,4.15,2.0,20.0,4.0,3,20,5,164,763,278,1,50,5,3,8,4,1,3675,1475,2350,540
30000,999,98.63,3.0,20.0,7.5,1.0,26.0,4.0,2,24,7,225,1733,263,1,78,3,1,6,4,1,3994,1758,2500,336
59247,1086,68.05,4.0,19.81,3.98,2.0,20.0,4.0,3,9,2,89,1641,265,1,102,3,4,6,4,1,3585,1595,2380,225
50000,1199,88.7,4.0,18.7,5.5,1.0,20.0,4.0,3,8,2,66,171,476,1,78,3,4,6,4,1,3955,1694,2530,354
20000,2143,204.0,4.0,13.0,33.0,2.0,21.0,4.0,3,21,8,200,1067,276,1,119,3,4,8,1,0,4879,2071,2874,540
29403,998,67.04,3.0,23.1,4.53,2.0,21.0,4.0,2,20,2,160,2048,293,1,9,3,4,6,4,0,3715,1635,2425,235
42700,998,66.1,3.0,19.0,2.85,2.0,15.0,4.0,2,20,2,153,2081,289,1,50,3,4,6,4,1,3500,1600,2360,267
23001,1995,187.7,4.0,16.55,50.0,2.0,23.0,4.0,3,1,7,21,2141,412,1,50,3,4,4,1,0,4708,1891,2864,485
25925,1497,121.36,3.0,14.8,8.21,2.0,23.0,3.0,2,6,7,50,291,396,1,8,3,4,6,4,0,3998,1765,2519,352
20000,1197,81.8,4.0,21.0,8.65,1.0,26.0,4.0,3,9,2,90,857,46,1,9,3,1,6,4,1,3995,1775,2580,311
17711,1199,88.7,4.0,18.2,7.92,2.0,24.0,4.0,3,8,2,66,1794,476,1,102,3,4,6,4,0,3955,1694,2530,354
50000,1995,187.74,4.0,20.37,40.5,2.0,25.0,4.0,3,1,8,14,675,407,1,119,3,4,8,1,0,4709,1827,2810,480
50000,1197,81.8,4.0,22.0,6.1,1.0,23.0,4.0,3,20,2,179,1810,449,1,78,3,4,6,4,1,3840,1735,2450,268
51125,1197,81.86,4.0,18.9,5.11,2.0,23.0,3.0,3,9,2,77,95,320,1,119,3,4,6,4,1,3765,1660,2425,256
69233,1497,108.5,4.0,21.5,7.1,2.0,24.0,4.0,3,29,7,265,299,352,1,77,3,4,6,1,1,3994,1811,2498,350
65000,1956,167.67,4.0,17.1,12.25,2.0,22.0,4.0,3,12,7,101,496,130,1,119,3,4,2,1,1,4405,1818,2636,418
93281,1497,117.3,4.0,17.4,5.7,2.0,19.0,4.0,3,8,8,63,2100,469,1,14,3,4,6,4,1,4440,1695,2600,510
18000,2755,201.15,4.0,17.0,39.0,2.0,27.0,4.0,3,30,7,285,728,152,1,119,5,4,0,1,1,4795,1855,2745,418
99225,1198,86.7,4.0,18.0,3.75,2.0,19.0,3.0,3,8,8,59,1062,476,1,119,3,4,6,4,1,3990,1680,2405,400
